lote,fecha,input_path,final_path,status,canonical_path,canonical_relation,robots,noindex,html_lang,hreflang_priority,hreflang_total,in_sitemap,h1_count,estado,riesgo,incidencia
MW-INDEXABILITY-CANONICAL-HREFLANG-DIAG-011H,2026-07-01,/nl/collections/alle-matchwallsmurals-muurschilderingen,/nl/collections/alle-matchwallsmurals-muurschilderingen,200,/nl/collections/alle-matchwallsmurals-muurschilderingen,self_exact,,NO,nl,es|en|fr|de|nl|x-default,8,YES,1,VERIFICADO Y CORRECTO,Bajo,legacy_handle_standby
MW-INDEXABILITY-CANONICAL-HREFLANG-DIAG-011H,2026-07-01,/collections/murales-estilo-a-rayas,/collections/murales-estilo-a-rayas,200,/collections/murales-estilo-a-rayas,self_exact,,NO,es,es|en|fr|de|nl|x-default,8,YES,1,VERIFICADO Y CORRECTO,Bajo,none
MW-INDEXABILITY-CANONICAL-HREFLANG-DIAG-011H,2026-07-01,/en/collections/rays-mural-matchwallsmurals-1,/en/collections/rays-mural-matchwallsmurals-1,200,/en/collections/rays-mural-matchwallsmurals-1,self_exact,,NO,en,es|en|fr|de|nl|x-default,8,YES,1,VERIFICADO Y CORRECTO,Bajo,legacy_handle_standby
MW-INDEXABILITY-CANONICAL-HREFLANG-DIAG-011H,2026-07-01,/fr/collections/rayons-muraux-matchwallsmurals,/fr/collections/rayons-muraux-matchwallsmurals,200,/fr/collections/rayons-muraux-matchwallsmurals,self_exact,,NO,fr,es|en|fr|de|nl|x-default,8,YES,1,VERIFICADO Y CORRECTO,Bajo,legacy_handle_standby
MW-INDEXABILITY-CANONICAL-HREFLANG-DIAG-011H,2026-07-01,/de/collections/rays-mural-matchwallsmurals-2,/de/collections/rays-mural-matchwallsmurals-2,200,/de/collections/rays-mural-matchwallsmurals-2,self_exact,,NO,de,es|en|fr|de|nl|x-default,8,YES,1,VERIFICADO Y CORRECTO,Bajo,legacy_handle_standby
MW-INDEXABILITY-CANONICAL-HREFLANG-DIAG-011H,2026-07-01,/nl/collections/rays-mural-matchwallsmurals-5,/nl/collections/rays-mural-matchwallsmurals-5,200,/nl/collections/rays-mural-matchwallsmurals-5,self_exact,,NO,nl,es|en|fr|de|nl|x-default,8,YES,1,VERIFICADO Y CORRECTO,Bajo,legacy_handle_standby
MW-INDEXABILITY-CANONICAL-HREFLANG-DIAG-011H,2026-07-01,/collections/kids-murales,/collections/kids-murales,200,/collections/kids-murales,self_exact,,NO,es,es|en|fr|de|nl|x-default,8,YES,1,VERIFICADO Y CORRECTO,Bajo,none
MW-INDEXABILITY-CANONICAL-HREFLANG-DIAG-011H,2026-07-01,/en/collections/mural-for-childrens-rooms-matchwallsmurals,/en/collections/mural-for-childrens-rooms-matchwallsmurals,200,/en/collections/mural-for-childrens-rooms-matchwallsmurals,self_exact,,NO,en,es|en|fr|de|nl|x-default,8,YES,1,VERIFICADO Y CORRECTO,Bajo,legacy_handle_standby
MW-INDEXABILITY-CANONICAL-HREFLANG-DIAG-011H,2026-07-01,/fr/collections/murale-pour-les-chambres-pour-enfants-matchwallsmurals,/fr/collections/murale-pour-les-chambres-pour-enfants-matchwallsmurals,200,/fr/collections/murale-pour-les-chambres-pour-enfants-matchwallsmurals,self_exact,,NO,fr,es|en|fr|de|nl|x-default,8,YES,1,VERIFICADO Y CORRECTO,Bajo,legacy_handle_standby
MW-INDEXABILITY-CANONICAL-HREFLANG-DIAG-011H,2026-07-01,/de/collections/wandbild-fur-kinderzimmer-matchwallsmurals,/de/collections/wandbild-fur-kinderzimmer-matchwallsmurals,200,/de/collections/wandbild-fur-kinderzimmer-matchwallsmurals,self_exact,,NO,de,es|en|fr|de|nl|x-default,8,YES,1,VERIFICADO Y CORRECTO,Bajo,legacy_handle_standby
MW-INDEXABILITY-CANONICAL-HREFLANG-DIAG-011H,2026-07-01,/nl/collections/muurschildering-voor-kinderkamers-matchwallsmurals,/nl/collections/muurschildering-voor-kinderkamers-matchwallsmurals,200,/nl/collections/muurschildering-voor-kinderkamers-matchwallsmurals,self_exact,,NO,nl,es|en|fr|de|nl|x-default,8,YES,1,VERIFICADO Y CORRECTO,Bajo,legacy_handle_standby
MW-INDEXABILITY-CANONICAL-HREFLANG-DIAG-011H,2026-07-01,/collections/papeles-pintados-para-banos,/collections/papeles-pintados-para-banos,200,/collections/papeles-pintados-para-banos,self_exact,,NO,es,es|en|fr|de|nl|x-default,8,YES,1,VERIFICADO Y CORRECTO,Bajo,none
MW-INDEXABILITY-CANONICAL-HREFLANG-DIAG-011H,2026-07-01,/en/collections/painted-bathrooms,/en/collections/painted-bathrooms,200,/en/collections/painted-bathrooms,self_exact,,NO,en,es|en|fr|de|nl|x-default,8,YES,1,VERIFICADO Y CORRECTO,Bajo,none
MW-INDEXABILITY-CANONICAL-HREFLANG-DIAG-011H,2026-07-01,/fr/collections/salles-de-bain-peintes,/fr/collections/salles-de-bain-peintes,200,/fr/collections/salles-de-bain-peintes,self_exact,,NO,fr,es|en|fr|de|nl|x-default,8,YES,1,VERIFICADO Y CORRECTO,Bajo,none
MW-INDEXABILITY-CANONICAL-HREFLANG-DIAG-011H,2026-07-01,/de/collections/bemalten-badezimmer,/de/collections/bemalten-badezimmer,200,/de/collections/bemalten-badezimmer,self_exact,,NO,de,es|en|fr|de|nl|x-default,8,YES,1,VERIFICADO Y CORRECTO,Bajo,none
MW-INDEXABILITY-CANONICAL-HREFLANG-DIAG-011H,2026-07-01,/nl/collections/geschilderde-badkamers,/nl/collections/geschilderde-badkamers,200,/nl/collections/geschilderde-badkamers,self_exact,,NO,nl,es|en|fr|de|nl|x-default,8,YES,1,VERIFICADO Y CORRECTO,Bajo,none
