index,recurso,idioma,mode,url,finalUrl,expectedH1,h1,status,failReasons,qaAssets,mainAssets,canonical,htmlLang,hreflangCount,noindex,textLen,overflowWindow,scrollWidth,innerWidth,cssLeak,consoleErrorCount,consoleErrors
16,Crea tu mural,de,mobile,https://www.matchwalls.com/de/pages/erstellen-sie-ihr-eigenes-wandbild,https://www.matchwalls.com/de/pages/erstellen-sie-ihr-eigenes-wandbild?mwqa=010z3-16-1782501713487,Erstellen Sie Ihr personalisiertes Wandgemälde,Erstellen Sie Ihr personalisiertes Wandgemälde,CORREGIDO Y VERIFICADO,,7,0,https://www.matchwalls.com/de/pages/erstellen-sie-ihr-eigenes-wandbild,de,8,false,8530,0,390,390,false,0,
17,Crea tu mural,en,desktop,https://www.matchwalls.com/en/pages/create-your-own-mural,https://www.matchwalls.com/en/pages/create-your-own-mural?mwqa=010z3-17-1782501717665,Create your personalized mural,Create your personalized mural,CORREGIDO Y VERIFICADO,,7,0,https://www.matchwalls.com/en/pages/create-your-own-mural,en,8,false,7295,0,1440,1440,false,0,
18,Crea tu mural,en,mobile,https://www.matchwalls.com/en/pages/create-your-own-mural,https://www.matchwalls.com/en/pages/create-your-own-mural?mwqa=010z3-18-1782501721863,Create your personalized mural,Create your personalized mural,CORREGIDO Y VERIFICADO,,7,0,https://www.matchwalls.com/en/pages/create-your-own-mural,en,8,false,7331,0,390,390,false,0,
19,Crea tu mural,nl,desktop,https://www.matchwalls.com/nl/pages/maak-je-eigen-muurschildering,https://www.matchwalls.com/nl/pages/maak-je-eigen-muurschildering?mwqa=010z3-19-1782501725367,Maak uw gepersonaliseerde muurschildering,Maak uw gepersonaliseerde muurschildering,CORREGIDO Y VERIFICADO,,7,0,https://www.matchwalls.com/nl/pages/maak-je-eigen-muurschildering,nl,8,false,8040,0,1440,1440,false,0,
20,Crea tu mural,nl,mobile,https://www.matchwalls.com/nl/pages/maak-je-eigen-muurschildering,https://www.matchwalls.com/nl/pages/maak-je-eigen-muurschildering?mwqa=010z3-20-1782501729664,Maak uw gepersonaliseerde muurschildering,Maak uw gepersonaliseerde muurschildering,CORREGIDO Y VERIFICADO,,7,0,https://www.matchwalls.com/nl/pages/maak-je-eigen-muurschildering,nl,8,false,8112,0,390,390,false,0,
21,Crea tu papel,es,desktop,https://www.matchwalls.com/pages/crea-tu-papel-pintado-rollo,https://www.matchwalls.com/pages/crea-tu-papel-pintado-rollo?mwqa=010z3-21-1782501734180,Crea tu propio papel pintado rollo,Crea tu propio papel pintado rollo,CORREGIDO Y VERIFICADO,,7,0,https://www.matchwalls.com/pages/crea-tu-papel-pintado-rollo,es,8,false,8268,0,1440,1440,false,0,
22,Crea tu papel,es,mobile,https://www.matchwalls.com/pages/crea-tu-papel-pintado-rollo,https://www.matchwalls.com/pages/crea-tu-papel-pintado-rollo?mwqa=010z3-22-1782501738139,Crea tu propio papel pintado rollo,Crea tu propio papel pintado rollo,CORREGIDO Y VERIFICADO,,7,0,https://www.matchwalls.com/pages/crea-tu-papel-pintado-rollo,es,8,false,8275,0,390,390,false,0,
23,Crea tu papel,fr,desktop,https://www.matchwalls.com/fr/pages/creez-votre-propre-rouleau-de-papier-peint,https://www.matchwalls.com/fr/pages/creez-votre-propre-rouleau-de-papier-peint?mwqa=010z3-23-1782501741822,Créez votre propre rouleau de papier peint,Créez votre propre rouleau de papier peint,CORREGIDO Y VERIFICADO,,7,0,https://www.matchwalls.com/fr/pages/creez-votre-propre-rouleau-de-papier-peint,fr,8,false,8845,0,1440,1440,false,0,
24,Crea tu papel,fr,mobile,https://www.matchwalls.com/fr/pages/creez-votre-propre-rouleau-de-papier-peint,https://www.matchwalls.com/fr/pages/creez-votre-propre-rouleau-de-papier-peint?mwqa=010z3-24-1782501747297,Créez votre propre rouleau de papier peint,Créez votre propre rouleau de papier peint,CORREGIDO Y VERIFICADO,,7,0,https://www.matchwalls.com/fr/pages/creez-votre-propre-rouleau-de-papier-peint,fr,8,false,8849,0,390,390,false,0,
25,Crea tu papel,de,desktop,https://www.matchwalls.com/de/pages/erstellen-sie-ihre-eigene-tapetenrolle,https://www.matchwalls.com/de/pages/erstellen-sie-ihre-eigene-tapetenrolle?mwqa=010z3-25-1782501751534,Erstellen Sie Ihre eigene Tapetenrolle,Erstellen Sie Ihre eigene Tapetenrolle,CORREGIDO Y VERIFICADO,,7,0,https://www.matchwalls.com/de/pages/erstellen-sie-ihre-eigene-tapetenrolle,de,8,false,8757,0,1440,1440,false,0,
