lot,checked_at_utc,user_agent,url,path,robots_allowed,decision,matched_pattern,matched_pattern_len
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.812798+00:00,msnbot,https://www.matchwalls.com/collections/papeles-pintados?sort_by=best-selling,/collections/papeles-pintados?sort_by=best-selling,False,disallow,/collections/*sort_by*,20
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.812798+00:00,msnbot,https://www.matchwalls.com/collections/foo+bar,/collections/foo+bar,False,disallow,/collections/*+*,14
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.813797+00:00,msnbot,https://www.matchwalls.com/cart/,/cart/,False,disallow,/cart/,6
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.814793+00:00,msnbot,https://www.matchwalls.com/checkout,/checkout,False,disallow,/checkout,9
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.815831+00:00,msnbot,https://www.matchwalls.com/cdn/wpm/test.js,/cdn/wpm/test.js,False,disallow,/cdn/wpm/*.js,12
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.816874+00:00,msnbot,https://www.matchwalls.com/recommendations/products?product_id=1,/recommendations/products?product_id=1,False,disallow,/recommendations/products,25
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.817887+00:00,Slurp,https://www.matchwalls.com/,/,True,allow,/,1
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.818881+00:00,Slurp,https://www.matchwalls.com/products/custom-file-uploader,/products/custom-file-uploader,True,allow,/,1
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.819888+00:00,Slurp,https://www.matchwalls.com/pages/papel-pintado-espana,/pages/papel-pintado-espana,True,allow,/,1
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.819888+00:00,Slurp,https://www.matchwalls.com/en/pages/spain-wallpaper,/en/pages/spain-wallpaper,True,allow,/,1
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.821058+00:00,Slurp,https://www.matchwalls.com/fr/pages/papier-peint-en-france,/fr/pages/papier-peint-en-france,True,allow,/,1
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.821058+00:00,Slurp,https://www.matchwalls.com/collections/papeles-pintados?sort_by=best-selling,/collections/papeles-pintados?sort_by=best-selling,False,disallow,/collections/*sort_by*,20
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.822369+00:00,Slurp,https://www.matchwalls.com/collections/foo+bar,/collections/foo+bar,False,disallow,/collections/*+*,14
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.823439+00:00,Slurp,https://www.matchwalls.com/cart/,/cart/,False,disallow,/cart/,6
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.823439+00:00,Slurp,https://www.matchwalls.com/checkout,/checkout,False,disallow,/checkout,9
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.824435+00:00,Slurp,https://www.matchwalls.com/cdn/wpm/test.js,/cdn/wpm/test.js,False,disallow,/cdn/wpm/*.js,12
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.824435+00:00,Slurp,https://www.matchwalls.com/recommendations/products?product_id=1,/recommendations/products?product_id=1,False,disallow,/recommendations/products,25
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.825435+00:00,Applebot,https://www.matchwalls.com/,/,True,allow,/,1
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.825435+00:00,Applebot,https://www.matchwalls.com/products/custom-file-uploader,/products/custom-file-uploader,True,allow,/,1
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.826528+00:00,Applebot,https://www.matchwalls.com/pages/papel-pintado-espana,/pages/papel-pintado-espana,True,allow,/,1
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.826528+00:00,Applebot,https://www.matchwalls.com/en/pages/spain-wallpaper,/en/pages/spain-wallpaper,True,allow,/,1
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.827623+00:00,Applebot,https://www.matchwalls.com/fr/pages/papier-peint-en-france,/fr/pages/papier-peint-en-france,True,allow,/,1
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.827623+00:00,Applebot,https://www.matchwalls.com/collections/papeles-pintados?sort_by=best-selling,/collections/papeles-pintados?sort_by=best-selling,False,disallow,/collections/*sort_by*,20
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.828624+00:00,Applebot,https://www.matchwalls.com/collections/foo+bar,/collections/foo+bar,False,disallow,/collections/*+*,14
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.828624+00:00,Applebot,https://www.matchwalls.com/cart/,/cart/,False,disallow,/cart/,6
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.829623+00:00,Applebot,https://www.matchwalls.com/checkout,/checkout,False,disallow,/checkout,9
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.829623+00:00,Applebot,https://www.matchwalls.com/cdn/wpm/test.js,/cdn/wpm/test.js,False,disallow,/cdn/wpm/*.js,12
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.830624+00:00,Applebot,https://www.matchwalls.com/recommendations/products?product_id=1,/recommendations/products?product_id=1,False,disallow,/recommendations/products,25
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.830624+00:00,Applebot-Extended,https://www.matchwalls.com/,/,True,allow,/,1
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.831623+00:00,Applebot-Extended,https://www.matchwalls.com/products/custom-file-uploader,/products/custom-file-uploader,True,allow,/,1
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.832622+00:00,Applebot-Extended,https://www.matchwalls.com/pages/papel-pintado-espana,/pages/papel-pintado-espana,True,allow,/,1
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.832622+00:00,Applebot-Extended,https://www.matchwalls.com/en/pages/spain-wallpaper,/en/pages/spain-wallpaper,True,allow,/,1
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.833626+00:00,Applebot-Extended,https://www.matchwalls.com/fr/pages/papier-peint-en-france,/fr/pages/papier-peint-en-france,True,allow,/,1
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.834627+00:00,Applebot-Extended,https://www.matchwalls.com/collections/papeles-pintados?sort_by=best-selling,/collections/papeles-pintados?sort_by=best-selling,False,disallow,/collections/*sort_by*,20
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.835632+00:00,Applebot-Extended,https://www.matchwalls.com/collections/foo+bar,/collections/foo+bar,False,disallow,/collections/*+*,14
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.835632+00:00,Applebot-Extended,https://www.matchwalls.com/cart/,/cart/,False,disallow,/cart/,6
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.836672+00:00,Applebot-Extended,https://www.matchwalls.com/checkout,/checkout,False,disallow,/checkout,9
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.837627+00:00,Applebot-Extended,https://www.matchwalls.com/cdn/wpm/test.js,/cdn/wpm/test.js,False,disallow,/cdn/wpm/*.js,12
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.837627+00:00,Applebot-Extended,https://www.matchwalls.com/recommendations/products?product_id=1,/recommendations/products?product_id=1,False,disallow,/recommendations/products,25
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.838628+00:00,OAI-SearchBot,https://www.matchwalls.com/,/,True,allow,/,1
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.838628+00:00,OAI-SearchBot,https://www.matchwalls.com/products/custom-file-uploader,/products/custom-file-uploader,True,allow,/,1
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.839631+00:00,OAI-SearchBot,https://www.matchwalls.com/pages/papel-pintado-espana,/pages/papel-pintado-espana,True,allow,/,1
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.840623+00:00,OAI-SearchBot,https://www.matchwalls.com/en/pages/spain-wallpaper,/en/pages/spain-wallpaper,True,allow,/,1
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.840623+00:00,OAI-SearchBot,https://www.matchwalls.com/fr/pages/papier-peint-en-france,/fr/pages/papier-peint-en-france,True,allow,/,1
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.841622+00:00,OAI-SearchBot,https://www.matchwalls.com/collections/papeles-pintados?sort_by=best-selling,/collections/papeles-pintados?sort_by=best-selling,False,disallow,/collections/*sort_by*,20
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.841622+00:00,OAI-SearchBot,https://www.matchwalls.com/collections/foo+bar,/collections/foo+bar,False,disallow,/collections/*+*,14
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.842625+00:00,OAI-SearchBot,https://www.matchwalls.com/cart/,/cart/,False,disallow,/cart/,6
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.842625+00:00,OAI-SearchBot,https://www.matchwalls.com/checkout,/checkout,False,disallow,/checkout,9
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.843623+00:00,OAI-SearchBot,https://www.matchwalls.com/cdn/wpm/test.js,/cdn/wpm/test.js,False,disallow,/cdn/wpm/*.js,12
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.843623+00:00,OAI-SearchBot,https://www.matchwalls.com/recommendations/products?product_id=1,/recommendations/products?product_id=1,False,disallow,/recommendations/products,25
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.844622+00:00,GPTBot,https://www.matchwalls.com/,/,True,allow,/,1
