index,recurso,idioma,mode,url,finalUrl,resolvedUrl,httpStatus,expectedH1,h1,status,failReasons,t46Assets,t45Assets,canonical,htmlLang,hreflangCount,hasPriorityHreflang,noindex,textLen,cssLeak
14,Crea tu mural,fr,mobile,https://www.matchwalls.com/fr/pages/creez-votre-propre-murale,https://www.matchwalls.com/fr/pages/creez-votre-propre-murale?mwqa=010p-post-14-1782509978277,https://www.matchwalls.com/fr/pages/creez-votre-propre-murale?mwqa=010p-post-14-1782509978277,200,Créez votre murale personnalisée,Créez votre murale personnalisée,CORREGIDO Y VERIFICADO,,11,0,https://www.matchwalls.com/fr/pages/creez-votre-propre-murale,fr,8,true,false,24921,false
15,Crea tu mural,de,desktop,https://www.matchwalls.com/de/pages/erstellen-sie-ihr-eigenes-wandbild,https://www.matchwalls.com/de/pages/erstellen-sie-ihr-eigenes-wandbild?mwqa=010p-post-15-1782509978513,https://www.matchwalls.com/de/pages/erstellen-sie-ihr-eigenes-wandbild?mwqa=010p-post-15-1782509978513,200,Erstellen Sie Ihr personalisiertes Wandgemälde,Erstellen Sie Ihr personalisiertes Wandgemälde,CORREGIDO Y VERIFICADO,,11,0,https://www.matchwalls.com/de/pages/erstellen-sie-ihr-eigenes-wandbild,de,8,true,false,23803,false
16,Crea tu mural,de,mobile,https://www.matchwalls.com/de/pages/erstellen-sie-ihr-eigenes-wandbild,https://www.matchwalls.com/de/pages/erstellen-sie-ihr-eigenes-wandbild?mwqa=010p-post-16-1782509978851,https://www.matchwalls.com/de/pages/erstellen-sie-ihr-eigenes-wandbild?mwqa=010p-post-16-1782509978851,200,Erstellen Sie Ihr personalisiertes Wandgemälde,Erstellen Sie Ihr personalisiertes Wandgemälde,CORREGIDO Y VERIFICADO,,11,0,https://www.matchwalls.com/de/pages/erstellen-sie-ihr-eigenes-wandbild,de,8,true,false,23803,false
17,Crea tu mural,en,desktop,https://www.matchwalls.com/en/pages/create-your-own-mural,https://www.matchwalls.com/en/pages/create-your-own-mural?mwqa=010p-post-17-1782509979214,https://www.matchwalls.com/en/pages/create-your-own-mural?mwqa=010p-post-17-1782509979214,200,Create your personalized mural,Create your personalized mural,CORREGIDO Y VERIFICADO,,11,0,https://www.matchwalls.com/en/pages/create-your-own-mural,en,8,true,false,21617,false
18,Crea tu mural,en,mobile,https://www.matchwalls.com/en/pages/create-your-own-mural,https://www.matchwalls.com/en/pages/create-your-own-mural?mwqa=010p-post-18-1782509979526,https://www.matchwalls.com/en/pages/create-your-own-mural?mwqa=010p-post-18-1782509979526,200,Create your personalized mural,Create your personalized mural,CORREGIDO Y VERIFICADO,,11,0,https://www.matchwalls.com/en/pages/create-your-own-mural,en,8,true,false,21617,false
19,Crea tu mural,nl,desktop,https://www.matchwalls.com/nl/pages/maak-je-eigen-muurschildering,https://www.matchwalls.com/nl/pages/maak-je-eigen-muurschildering?mwqa=010p-post-19-1782509979765,https://www.matchwalls.com/nl/pages/maak-je-eigen-muurschildering?mwqa=010p-post-19-1782509979765,200,Maak uw gepersonaliseerde muurschildering,Maak uw gepersonaliseerde muurschildering,CORREGIDO Y VERIFICADO,,11,0,https://www.matchwalls.com/nl/pages/maak-je-eigen-muurschildering,nl,8,true,false,23100,false
20,Crea tu mural,nl,mobile,https://www.matchwalls.com/nl/pages/maak-je-eigen-muurschildering,https://www.matchwalls.com/nl/pages/maak-je-eigen-muurschildering?mwqa=010p-post-20-1782509980162,https://www.matchwalls.com/nl/pages/maak-je-eigen-muurschildering?mwqa=010p-post-20-1782509980162,200,Maak uw gepersonaliseerde muurschildering,Maak uw gepersonaliseerde muurschildering,CORREGIDO Y VERIFICADO,,11,0,https://www.matchwalls.com/nl/pages/maak-je-eigen-muurschildering,nl,8,true,false,23100,false
21,Crea tu papel,es,desktop,https://www.matchwalls.com/pages/crea-tu-papel-pintado-rollo,https://www.matchwalls.com/pages/crea-tu-papel-pintado-rollo?mwqa=010p-post-21-1782509980165,https://www.matchwalls.com/pages/crea-tu-papel-pintado-rollo?mwqa=010p-post-21-1782509980165,200,Crea tu propio papel pintado rollo,Crea tu propio papel pintado rollo,CORREGIDO Y VERIFICADO,,11,0,https://www.matchwalls.com/pages/crea-tu-papel-pintado-rollo,es,8,true,false,22877,false
22,Crea tu papel,es,mobile,https://www.matchwalls.com/pages/crea-tu-papel-pintado-rollo,https://www.matchwalls.com/pages/crea-tu-papel-pintado-rollo?mwqa=010p-post-22-1782509980207,https://www.matchwalls.com/pages/crea-tu-papel-pintado-rollo?mwqa=010p-post-22-1782509980207,200,Crea tu propio papel pintado rollo,Crea tu propio papel pintado rollo,CORREGIDO Y VERIFICADO,,11,0,https://www.matchwalls.com/pages/crea-tu-papel-pintado-rollo,es,8,true,false,22877,false
23,Crea tu papel,fr,desktop,https://www.matchwalls.com/fr/pages/creez-votre-propre-rouleau-de-papier-peint,https://www.matchwalls.com/fr/pages/creez-votre-propre-rouleau-de-papier-peint?mwqa=010p-post-23-1782509980772,https://www.matchwalls.com/fr/pages/creez-votre-propre-rouleau-de-papier-peint?mwqa=010p-post-23-1782509980772,200,Créez votre propre rouleau de papier peint,Créez votre propre rouleau de papier peint,CORREGIDO Y VERIFICADO,,11,0,https://www.matchwalls.com/fr/pages/creez-votre-propre-rouleau-de-papier-peint,fr,8,true,false,24446,false
