source_path,final_status,redirect_hops,final_url,canonical,h1,title,meta_robots,x_robots_tag,visible_noindex,chain
/collections/murales-en-blanco,404,0,https://www.matchwalls.com/collections/murales-en-blanco,,,,,,no,404 https://www.matchwalls.com/collections/murales-en-blanco
/collections/murales-en-dorado,404,0,https://www.matchwalls.com/collections/murales-en-dorado,,,,,,no,404 https://www.matchwalls.com/collections/murales-en-dorado
/collections/murales-en-gris,404,0,https://www.matchwalls.com/collections/murales-en-gris,,,,,,no,404 https://www.matchwalls.com/collections/murales-en-gris
/collections/murales-en-lila,404,0,https://www.matchwalls.com/collections/murales-en-lila,,,,,,no,404 https://www.matchwalls.com/collections/murales-en-lila
/collections/murales-en-marron,404,0,https://www.matchwalls.com/collections/murales-en-marron,,,,,,no,404 https://www.matchwalls.com/collections/murales-en-marron
/collections/murales-en-multicolor,404,0,https://www.matchwalls.com/collections/murales-en-multicolor,,,,,,no,404 https://www.matchwalls.com/collections/murales-en-multicolor
/collections/murales-en-negro,404,0,https://www.matchwalls.com/collections/murales-en-negro,,,,,,no,404 https://www.matchwalls.com/collections/murales-en-negro
/collections/murales-en-plateado,404,0,https://www.matchwalls.com/collections/murales-en-plateado,,,,,,no,404 https://www.matchwalls.com/collections/murales-en-plateado
/collections/murales-en-rosa,404,0,https://www.matchwalls.com/collections/murales-en-rosa,,,,,,no,404 https://www.matchwalls.com/collections/murales-en-rosa
/collections/murales-en-verde,404,0,https://www.matchwalls.com/collections/murales-en-verde,,,,,,no,404 https://www.matchwalls.com/collections/murales-en-verde
/collections/murales-estilo-a-rayas,200,0,https://www.matchwalls.com/collections/murales-estilo-a-rayas,,,,,,no,200 https://www.matchwalls.com/collections/murales-estilo-a-rayas
/collections/murales-estilo-artistico,200,0,https://www.matchwalls.com/collections/murales-estilo-artistico,,,,,,no,200 https://www.matchwalls.com/collections/murales-estilo-artistico
/collections/murales-estilo-botanico,200,0,https://www.matchwalls.com/collections/murales-estilo-botanico,,,,,,no,200 https://www.matchwalls.com/collections/murales-estilo-botanico
/collections/murales-estilo-estructura,200,0,https://www.matchwalls.com/collections/murales-estilo-estructura,,,,,,no,200 https://www.matchwalls.com/collections/murales-estilo-estructura
/collections/murales-estilo-floral,200,0,https://www.matchwalls.com/collections/murales-estilo-floral,,,,,,no,200 https://www.matchwalls.com/collections/murales-estilo-floral
/collections/murales-estilo-geometrico,200,0,https://www.matchwalls.com/collections/murales-estilo-geometrico,,,,,,no,200 https://www.matchwalls.com/collections/murales-estilo-geometrico
/collections/murales-estilo-grafico,200,0,https://www.matchwalls.com/collections/murales-estilo-grafico,,,,,,no,200 https://www.matchwalls.com/collections/murales-estilo-grafico
/collections/murales-estilo-japones,200,0,https://www.matchwalls.com/collections/murales-estilo-japones,,,,,,no,200 https://www.matchwalls.com/collections/murales-estilo-japones
/collections/murales-estilo-maderas,200,0,https://www.matchwalls.com/collections/murales-estilo-maderas,,,,,,no,200 https://www.matchwalls.com/collections/murales-estilo-maderas
/collections/murales-estilo-marmol,200,0,https://www.matchwalls.com/collections/murales-estilo-marmol,,,,,,no,200 https://www.matchwalls.com/collections/murales-estilo-marmol
/collections/murales-estilo-naturaleza,200,0,https://www.matchwalls.com/collections/murales-estilo-naturaleza,,,,,,no,200 https://www.matchwalls.com/collections/murales-estilo-naturaleza
/collections/murales-estilo-paisajes,200,0,https://www.matchwalls.com/collections/murales-estilo-paisajes,,,,,,no,200 https://www.matchwalls.com/collections/murales-estilo-paisajes
/collections/murales-mas-vendidos-mural,200,0,https://www.matchwalls.com/collections/murales-mas-vendidos-mural,,,,,,no,200 https://www.matchwalls.com/collections/murales-mas-vendidos-mural
/collections/murales-mvp,200,1,https://www.matchwalls.com/collections/murales,,,,,,no,301 https://www.matchwalls.com/collections/murales-mvp -> /collections/murales | 200 https://www.matchwalls.com/collections/murales
/collections/murales-para-el-comedor,200,0,https://www.matchwalls.com/collections/murales-para-el-comedor,,,,,,no,200 https://www.matchwalls.com/collections/murales-para-el-comedor
/collections/murales-para-el-dormitorio,200,0,https://www.matchwalls.com/collections/murales-para-el-dormitorio,,,,,,no,200 https://www.matchwalls.com/collections/murales-para-el-dormitorio
/collections/murales-para-el-pasillo,200,0,https://www.matchwalls.com/collections/murales-para-el-pasillo,,,,,,no,200 https://www.matchwalls.com/collections/murales-para-el-pasillo
/collections/murales-para-el-salon,200,0,https://www.matchwalls.com/collections/murales-para-el-salon,,,,,,no,200 https://www.matchwalls.com/collections/murales-para-el-salon
