lote,checked_at_local,sample_rank,queue_rank,priority,url,status,final_url,elapsed_ms,server,cf_ray,x_request_id,body_len,error,gate_state
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6R,2026-07-05,1,7,MEDIA,https://www.matchwalls.com/pages/medidas-paredes,200,https://www.matchwalls.com/pages/medidas-paredes,889,cloudflare,a1677b34ee62c69e-MAD,ccc52c4a-0bcf-45d1-8318-095b93aefbd2-1783266163,120000,,PASS
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6R,2026-07-05,2,8,MEDIA,https://www.matchwalls.com/products/gingham-charm-verde,500,https://www.matchwalls.com/products/gingham-charm-verde,3266,cloudflare,a1677b84fa654bd6-MAD,085d24e5-299a-4e8c-bd90-f0ba737e13bb-1783266176,0,HTTPError,NON_200
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6R,2026-07-05,3,9,MEDIA,https://www.matchwalls.com/collections/papeles-pintados-color-verde,200,https://www.matchwalls.com/collections/papeles-pintados-color-verde,3022,cloudflare,a1677be45fe403bd-MAD,8a03dfc0-ec2f-4dc4-854c-167777f216d1-1783266192,120000,,PASS
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6R,2026-07-05,4,10,MEDIA,https://www.matchwalls.com/en/collections/salamanca-wallpaper,500,https://www.matchwalls.com/en/collections/salamanca-wallpaper,3294,cloudflare,a1677c42ca9cf91f-MAD,84b5fb4a-fca0-48bb-80b9-1ee7399344c6-1783266207,0,HTTPError,NON_200
MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6R,2026-07-05,5,11,MEDIA,https://www.matchwalls.com/en/collections/tarragona-wallpaper,200,https://www.matchwalls.com/en/collections/tarragona-wallpaper,4714,cloudflare,a1677ca1dc510144-MAD,bde1afdc-027d-456f-8c1f-00fc6659ab78-1783266222,120000,,PASS
