product_gid,legacy_resource_id,representative_title,url,present_in_product_sitemap,estado,source_block
gid://shopify/Product/14835721699704,14835721699704,Muestra de Clásico Contemporáneo Rosa,https://www.matchwalls.com/products/muestra-de-clasico-contemporaneo-rosa,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835721699704,14835721699704,Muestra de Clásico Contemporáneo Rosa,https://www.matchwalls.com/en/products/rose-contemporary-classic-sample,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835721699704,14835721699704,Muestra de Clásico Contemporáneo Rosa,https://www.matchwalls.com/fr/products/echantillon-classique-contemporain-rose,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835721699704,14835721699704,Muestra de Clásico Contemporáneo Rosa,https://www.matchwalls.com/de/products/rose-contemporary-classic-probe,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835721699704,14835721699704,Muestra de Clásico Contemporáneo Rosa,https://www.matchwalls.com/nl/products/rose-contemporary-classic-sample-1,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835721699704,14835721699704,Muestra de Clásico Contemporáneo Rosa,https://www.matchwalls.com/it/products/campione-classico-contemporaneo-di-rose,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835721699704,14835721699704,Muestra de Clásico Contemporáneo Rosa,https://www.matchwalls.com/pt/products/amostra-classica-contemporanea-rosa,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835721601400,14835721601400,Muestra de Clásico Contemporáneo Verde,https://www.matchwalls.com/products/muestra-de-clasico-contemporaneo-verde,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835721601400,14835721601400,Muestra de Clásico Contemporáneo Verde,https://www.matchwalls.com/en/products/green-contemporary-classic-sample,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835721601400,14835721601400,Muestra de Clásico Contemporáneo Verde,https://www.matchwalls.com/fr/products/echantillon-classique-contemporain-vert,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835721601400,14835721601400,Muestra de Clásico Contemporáneo Verde,https://www.matchwalls.com/de/products/grune-zeitgenossische-klassische-probe,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835721601400,14835721601400,Muestra de Clásico Contemporáneo Verde,https://www.matchwalls.com/nl/products/groene-eigentijdse-klassieke-sample,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835721601400,14835721601400,Muestra de Clásico Contemporáneo Verde,https://www.matchwalls.com/it/products/campione-classico-contemporaneo-verde,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835721601400,14835721601400,Muestra de Clásico Contemporáneo Verde,https://www.matchwalls.com/pt/products/amostra-classica-contemporanea-verde,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835718095224,14835718095224,Muestra de Cosmic Dance Azul,https://www.matchwalls.com/products/muestra-de-cosmic-dance-azul,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835718095224,14835718095224,Muestra de Cosmic Dance Azul,https://www.matchwalls.com/en/products/blue-cosmic-dance-sample,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835718095224,14835718095224,Muestra de Cosmic Dance Azul,https://www.matchwalls.com/fr/products/echantillon-de-danse-cosmique-bleue,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835718095224,14835718095224,Muestra de Cosmic Dance Azul,https://www.matchwalls.com/de/products/blaue-kosmische-tanzprobe,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835718095224,14835718095224,Muestra de Cosmic Dance Azul,https://www.matchwalls.com/nl/products/blue-cosmic-dance-sample-1,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835718095224,14835718095224,Muestra de Cosmic Dance Azul,https://www.matchwalls.com/it/products/campione-di-danza-cosmica-blu,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835718095224,14835718095224,Muestra de Cosmic Dance Azul,https://www.matchwalls.com/pt/products/amostra-de-danca-cosmica-azul,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835720946040,14835720946040,Muestra de Cuadrícula Clásica  Azul,https://www.matchwalls.com/products/muestra-de-cuadricula-clasica-azul,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835720946040,14835720946040,Muestra de Cuadrícula Clásica  Azul,https://www.matchwalls.com/en/products/blue-classic-grid-sample,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835720946040,14835720946040,Muestra de Cuadrícula Clásica  Azul,https://www.matchwalls.com/fr/products/echantillon-de-grille-classique-bleu,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835720946040,14835720946040,Muestra de Cuadrícula Clásica  Azul,https://www.matchwalls.com/de/products/blue-classic-grid-probe,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835720946040,14835720946040,Muestra de Cuadrícula Clásica  Azul,https://www.matchwalls.com/nl/products/blue-classic-grid-sample-1,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835720946040,14835720946040,Muestra de Cuadrícula Clásica  Azul,https://www.matchwalls.com/it/products/campione-blu-classico-della-griglia,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835720946040,14835720946040,Muestra de Cuadrícula Clásica  Azul,https://www.matchwalls.com/pt/products/amostra-de-grade-classica-azul,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835721109880,14835721109880,Muestra de Cuadrícula Clásica  Rosa,https://www.matchwalls.com/products/muestra-de-cuadricula-clasica-rosa,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835721109880,14835721109880,Muestra de Cuadrícula Clásica  Rosa,https://www.matchwalls.com/en/products/rose-classic-grid-sample-1,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835721109880,14835721109880,Muestra de Cuadrícula Clásica  Rosa,https://www.matchwalls.com/fr/products/echantillon-de-grille-classique-rose,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835721109880,14835721109880,Muestra de Cuadrícula Clásica  Rosa,https://www.matchwalls.com/de/products/rose-classic-grid-probe,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835721109880,14835721109880,Muestra de Cuadrícula Clásica  Rosa,https://www.matchwalls.com/nl/products/rose-classic-grid-sample,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835721109880,14835721109880,Muestra de Cuadrícula Clásica  Rosa,https://www.matchwalls.com/it/products/campione-di-griglia-classica-rosa,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835721109880,14835721109880,Muestra de Cuadrícula Clásica  Rosa,https://www.matchwalls.com/pt/products/amostra-de-grade-classica-rosa,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835719569784,14835719569784,Muestra de Damas Clásicas Azul,https://www.matchwalls.com/products/muestra-de-damas-clasicas-azul,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835719569784,14835719569784,Muestra de Damas Clásicas Azul,https://www.matchwalls.com/en/products/blue-classic-ladies-sample,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835719569784,14835719569784,Muestra de Damas Clásicas Azul,https://www.matchwalls.com/fr/products/echantillon-de-dames-classiques-bleues,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835719569784,14835719569784,Muestra de Damas Clásicas Azul,https://www.matchwalls.com/de/products/blue-classic-ladies-probe,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835719569784,14835719569784,Muestra de Damas Clásicas Azul,https://www.matchwalls.com/nl/products/blue-classic-ladies-sample-2,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835719569784,14835719569784,Muestra de Damas Clásicas Azul,https://www.matchwalls.com/it/products/campione-blu-classico-da-donna,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835719569784,14835719569784,Muestra de Damas Clásicas Azul,https://www.matchwalls.com/pt/products/amostra-de-mulheres-classicas-azuis,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835719471480,14835719471480,Muestra de Damas Clásicas Beige,https://www.matchwalls.com/products/muestra-de-damas-clasicas-beige,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835719471480,14835719471480,Muestra de Damas Clásicas Beige,https://www.matchwalls.com/en/products/beige-classic-ladies-sample,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835719471480,14835719471480,Muestra de Damas Clásicas Beige,https://www.matchwalls.com/fr/products/echantillon-de-dames-classiques-beige,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835719471480,14835719471480,Muestra de Damas Clásicas Beige,https://www.matchwalls.com/de/products/beige-classic-ladies-probe,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835719471480,14835719471480,Muestra de Damas Clásicas Beige,https://www.matchwalls.com/nl/products/beige-classic-ladies-sample-1,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835719471480,14835719471480,Muestra de Damas Clásicas Beige,https://www.matchwalls.com/it/products/campione-di-donne-classiche-beige,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835719471480,14835719471480,Muestra de Damas Clásicas Beige,https://www.matchwalls.com/pt/products/amostra-de-senhoras-bege-classicas,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835719668088,14835719668088,Muestra de Damas Clásicas Lila,https://www.matchwalls.com/products/muestra-de-damas-clasicas-lila,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835719668088,14835719668088,Muestra de Damas Clásicas Lila,https://www.matchwalls.com/en/products/lilac-classic-ladies-sample,no,CORREGIDO Y VERIFICADO,01
