operacion,id,deletedUrlRedirectId,userErrors,estado
deleteLienzos,gid://shopify/UrlRedirect/1518269596024,gid://shopify/UrlRedirect/1518269596024,[],"CORREGIDO Y VERIFICADO"
deleteCuadrosRollos,gid://shopify/UrlRedirect/1518269628792,gid://shopify/UrlRedirect/1518269628792,[],"CORREGIDO Y VERIFICADO"
deleteNuevosCuadros,gid://shopify/UrlRedirect/1518269661560,gid://shopify/UrlRedirect/1518269661560,[],"CORREGIDO Y VERIFICADO"
deleteNuevosLienzos,gid://shopify/UrlRedirect/1518269694328,gid://shopify/UrlRedirect/1518269694328,[],"CORREGIDO Y VERIFICADO"
