url,status,robots_meta,has_noindex,has_nofollow,canonical,canonical_self,h1_present,fetch_error
https://www.matchwalls.com/it/products/studio-forestale-campione-recoto,200,"noindex,nofollow",yes,yes,https://www.matchwalls.com/it/products/studio-forestale-campione-recoto,yes,yes,
https://www.matchwalls.com/pt/products/estudo-florestal-amostra-reconhecida,200,"noindex,nofollow",yes,yes,https://www.matchwalls.com/pt/products/estudo-florestal-amostra-reconhecida,yes,yes,
https://www.matchwalls.com/products/muestra-de-golden-woodland-amarillo,200,"noindex,nofollow",yes,yes,https://www.matchwalls.com/products/muestra-de-golden-woodland-amarillo,yes,yes,
https://www.matchwalls.com/en/products/golden-woodland-sample-yellow,200,"noindex,nofollow",yes,yes,https://www.matchwalls.com/en/products/golden-woodland-sample-yellow,yes,yes,
https://www.matchwalls.com/fr/products/echantillon-de-bois-dore-jaune,200,"noindex,nofollow",yes,yes,https://www.matchwalls.com/fr/products/echantillon-de-bois-dore-jaune,yes,yes,
https://www.matchwalls.com/de/products/golden-waldprobe-gelb,200,"noindex,nofollow",yes,yes,https://www.matchwalls.com/de/products/golden-waldprobe-gelb,yes,yes,
https://www.matchwalls.com/it/products/campione-di-boschi-doro-giallo,200,"noindex,nofollow",yes,yes,https://www.matchwalls.com/it/products/campione-di-boschi-doro-giallo,yes,yes,
https://www.matchwalls.com/pt/products/amostra-de-floresta-dourada-amarela,200,"noindex,nofollow",yes,yes,https://www.matchwalls.com/pt/products/amostra-de-floresta-dourada-amarela,yes,yes,
https://www.matchwalls.com/products/muestra-de-golden-woodland-lila,200,"noindex,nofollow",yes,yes,https://www.matchwalls.com/products/muestra-de-golden-woodland-lila,yes,yes,
https://www.matchwalls.com/en/products/golden-woodland-lila-sample,200,"noindex,nofollow",yes,yes,https://www.matchwalls.com/en/products/golden-woodland-lila-sample,yes,yes,
https://www.matchwalls.com/fr/products/echantillon-de-lila-en-bois-dore,200,"noindex,nofollow",yes,yes,https://www.matchwalls.com/fr/products/echantillon-de-lila-en-bois-dore,yes,yes,
https://www.matchwalls.com/de/products/golden-waldlila-probe,200,"noindex,nofollow",yes,yes,https://www.matchwalls.com/de/products/golden-waldlila-probe,yes,yes,
https://www.matchwalls.com/it/products/golden-woodland-lila-campione,200,"noindex,nofollow",yes,yes,https://www.matchwalls.com/it/products/golden-woodland-lila-campione,yes,yes,
https://www.matchwalls.com/pt/products/amostra-de-lila-de-floresta-dourada,200,"noindex,nofollow",yes,yes,https://www.matchwalls.com/pt/products/amostra-de-lila-de-floresta-dourada,yes,yes,
https://www.matchwalls.com/products/muestra-de-golden-woodland-marron,200,"noindex,nofollow",yes,yes,https://www.matchwalls.com/products/muestra-de-golden-woodland-marron,yes,yes,
https://www.matchwalls.com/en/products/golden-woodland-brown-sample,200,"noindex,nofollow",yes,yes,https://www.matchwalls.com/en/products/golden-woodland-brown-sample,yes,yes,
https://www.matchwalls.com/fr/products/echantillon-brun-boise-dore,200,"noindex,nofollow",yes,yes,https://www.matchwalls.com/fr/products/echantillon-brun-boise-dore,yes,yes,
https://www.matchwalls.com/de/products/golden-woodland-braune-probe,200,"noindex,nofollow",yes,yes,https://www.matchwalls.com/de/products/golden-woodland-braune-probe,yes,yes,
https://www.matchwalls.com/it/products/campione-marrone-boschivo-dorato,200,"noindex,nofollow",yes,yes,https://www.matchwalls.com/it/products/campione-marrone-boschivo-dorato,yes,yes,
https://www.matchwalls.com/pt/products/amostra-marrom-da-floresta-dourada,200,"noindex,nofollow",yes,yes,https://www.matchwalls.com/pt/products/amostra-marrom-da-floresta-dourada,yes,yes,
https://www.matchwalls.com/products/muestra-de-highland-plaid-marron,200,"noindex,nofollow",yes,yes,https://www.matchwalls.com/products/muestra-de-highland-plaid-marron,yes,yes,
https://www.matchwalls.com/en/products/highland-plaid-marron-sample,200,"noindex,nofollow",yes,yes,https://www.matchwalls.com/en/products/highland-plaid-marron-sample,yes,yes,
https://www.matchwalls.com/fr/products/echantillon-de-marron-a-plaid-highland,200,"noindex,nofollow",yes,yes,https://www.matchwalls.com/fr/products/echantillon-de-marron-a-plaid-highland,yes,yes,
https://www.matchwalls.com/de/products/highland-plaid-marron-probe,200,"noindex,nofollow",yes,yes,https://www.matchwalls.com/de/products/highland-plaid-marron-probe,yes,yes,
https://www.matchwalls.com/it/products/campione-di-marcia-marciale-dellaltopiano,200,"noindex,nofollow",yes,yes,https://www.matchwalls.com/it/products/campione-di-marcia-marciale-dellaltopiano,yes,yes,
https://www.matchwalls.com/pt/products/amostra-da-highland-plaid-marron,200,"noindex,nofollow",yes,yes,https://www.matchwalls.com/pt/products/amostra-da-highland-plaid-marron,yes,yes,
