url,tipo,first_status,location,follow_status,title,canonical_o_final,sitemap_hits,estado
https://www.matchwalls.com/products/muestra-desnudos-blanco-y-negro,fuente_redirect,301,/collections/muestras,404,"404 No encontrado","https://www.matchwalls.com/404",0,INCORRECTO
https://www.matchwalls.com/collections/muestras,target_actual,404,,404,"404 No encontrado","https://www.matchwalls.com/404",0,INCORRECTO
https://www.matchwalls.com/pages/muestras,candidato,200,,200,"Muestras de papel pintado - MatchWalls","https://www.matchwalls.com/pages/muestras",1,VERIFICADO Y CORRECTO
